participant, method, gaze, completion, cur_finger, prev_finger, type, duration_ms, cand_total, cand_index, time_since_1970_ms
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605975975528.0300
zhenyi10,TapGazer,GS,WC,h,t,tap,81.4515,0,0,1605975975609.4800
zhenyi10,TapGazer,GS,WC,i,h,tap,67.5900,0,0,1605975975677.0700
zhenyi10,TapGazer,GS,WC,s,i,tap,77.7590,0,0,1605975975754.8300
zhenyi10,TapGazer,GS,WC,space,s,selection,212.4328,1,0,1605975975967.2600
zhenyi10,TapGazer,GS,WC,i,space,tap,158.5747,0,0,1605975976125.8400
zhenyi10,TapGazer,GS,WC,s,i,tap,243.9977,0,0,1605975976369.8400
zhenyi10,TapGazer,GS,WC,space,s,selection,123.7381,10,0,1605975976493.5700
zhenyi10,TapGazer,GS,WC,t,space,tap,223.1801,0,0,1605975976716.7500
zhenyi10,TapGazer,GS,WC,o,t,tap,89.7617,0,0,1605975976806.5200
zhenyi10,TapGazer,GS,WC,o,o,tap,142.6166,0,0,1605975976949.1300
zhenyi10,TapGazer,GS,WC,space,o,selection,402.7719,10,0,1605975977351.9000
zhenyi10,TapGazer,GS,WC,m,space,tap,168.5484,0,0,1605975977520.4500
zhenyi10,TapGazer,GS,WC,u,m,tap,156.8090,0,0,1605975977677.2600
zhenyi10,TapGazer,GS,WC,c,u,tap,156.9653,0,0,1605975977834.2300
zhenyi10,TapGazer,GS,WC,h,c,tap,61.8351,0,0,1605975977896.0600
zhenyi10,TapGazer,GS,WC,space,h,selection,390.2987,6,0,1605975978286.3600
zhenyi10,TapGazer,GS,WC,f,space,tap,254.3199,0,0,1605975978540.6800
zhenyi10,TapGazer,GS,WC,caps,f,deletion,577.2910,0,0,1605975979117.9700
zhenyi10,TapGazer,GS,WC,t,caps,tap,291.0416,0,0,1605975979409.0100
zhenyi10,TapGazer,GS,WC,o,t,tap,123.3131,0,0,1605975979532.3300
zhenyi10,TapGazer,GS,WC,space,o,selection,356.5949,10,0,1605975979888.9200
zhenyi10,TapGazer,GS,WC,h,space,tap,314.0179,0,0,1605975980202.9400
zhenyi10,TapGazer,GS,WC,a,h,tap,19.9479,0,0,1605975980222.8900
zhenyi10,TapGazer,GS,WC,n,a,tap,167.9235,0,0,1605975980390.8100
zhenyi10,TapGazer,GS,WC,d,n,tap,91.0322,0,0,1605975980481.8400
zhenyi10,TapGazer,GS,WC,l,d,tap,99.9330,0,0,1605975980581.7800
zhenyi10,TapGazer,GS,WC,e,l,tap,109.7395,0,0,1605975980691.5200
zhenyi10,TapGazer,GS,WC,space,e,selection,353.7464,2,0,1605975981045.2600
zhenyi10,TapGazer,GS,WC,p,,tap,0.0000,0,0,1605975981722.3600
zhenyi10,TapGazer,GS,WC,r,p,tap,62.7694,0,0,1605975981785.1200
zhenyi10,TapGazer,GS,WC,o,r,tap,134.5636,0,0,1605975981919.6900
zhenyi10,TapGazer,GS,WC,t,o,tap,415.1781,0,0,1605975982334.8700
zhenyi10,TapGazer,GS,WC,e,t,tap,77.7919,0,0,1605975982412.6600
zhenyi10,TapGazer,GS,WC,c,e,tap,357.7185,0,0,1605975982770.3800
zhenyi10,TapGazer,GS,WC,t,c,tap,234.1830,0,0,1605975983004.5600
zhenyi10,TapGazer,GS,WC,space,t,selection,604.6190,5,0,1605975983609.1800
zhenyi10,TapGazer,GS,WC,y,space,tap,676.6065,0,0,1605975984285.7900
zhenyi10,TapGazer,GS,WC,o,y,tap,66.8209,0,0,1605975984352.6100
zhenyi10,TapGazer,GS,WC,u,o,tap,99.4089,0,0,1605975984452.0200
zhenyi10,TapGazer,GS,WC,r,u,tap,81.7824,0,0,1605975984533.8000
zhenyi10,TapGazer,GS,WC,space,r,selection,335.9046,10,0,1605975984869.7000
zhenyi10,TapGazer,GS,WC,e,space,tap,670.7061,0,0,1605975985540.4100
zhenyi10,TapGazer,GS,WC,n,e,tap,123.7664,0,0,1605975985664.1700
zhenyi10,TapGazer,GS,WC,v,n,tap,156.0949,0,0,1605975985820.2700
zhenyi10,TapGazer,GS,WC,i,v,tap,178.2733,0,0,1605975985998.5400
zhenyi10,TapGazer,GS,WC,r,i,tap,89.3192,0,0,1605975986087.8600
zhenyi10,TapGazer,GS,WC,o,r,tap,142.6179,0,0,1605975986230.4800
zhenyi10,TapGazer,GS,WC,space,o,selection,725.0576,4,0,1605975986955.5400
zhenyi10,TapGazer,GS,WC,w,,tap,0.0000,0,0,1605975987606.8400
zhenyi10,TapGazer,GS,WC,o,w,tap,91.4450,0,0,1605975987698.2800
zhenyi10,TapGazer,GS,WC,r,o,tap,50.8640,0,0,1605975987749.1500
zhenyi10,TapGazer,GS,WC,l,r,tap,144.6134,0,0,1605975987893.7600
zhenyi10,TapGazer,GS,WC,d,l,tap,123.6708,0,0,1605975988017.4300
zhenyi10,TapGazer,GS,WC,space,d,selection,292.4051,3,0,1605975988309.8400
zhenyi10,TapGazer,GS,WC,p,space,tap,368.5219,0,0,1605975988678.3600
zhenyi10,TapGazer,GS,WC,r,p,tap,79.2871,0,0,1605975988757.6500
zhenyi10,TapGazer,GS,WC,o,r,tap,111.6993,0,0,1605975988869.3500
zhenyi10,TapGazer,GS,WC,p,o,tap,134.4880,0,0,1605975989003.8300
zhenyi10,TapGazer,GS,WC,u,p,tap,112.1893,0,0,1605975989116.0200
zhenyi10,TapGazer,GS,WC,l,u,tap,144.9039,0,0,1605975989260.9300
zhenyi10,TapGazer,GS,WC,a,l,tap,99.6990,0,0,1605975989360.6300
zhenyi10,TapGazer,GS,WC,caps,a,deletion,799.9642,0,0,1605975990160.5900
zhenyi10,TapGazer,GS,WC,p,caps,tap,290.3346,0,0,1605975990450.9200
zhenyi10,TapGazer,GS,WC,r,p,tap,105.7432,0,0,1605975990556.6700
zhenyi10,TapGazer,GS,WC,caps,r,deletion,525.9254,0,0,1605975991082.5900
zhenyi10,TapGazer,GS,WC,p,caps,tap,253.5530,0,0,1605975991336.1500
zhenyi10,TapGazer,GS,WC,o,p,tap,215.4110,0,0,1605975991551.5600
zhenyi10,TapGazer,GS,WC,p,o,tap,165.1067,0,0,1605975991716.6600
zhenyi10,TapGazer,GS,WC,u,p,tap,134.0712,0,0,1605975991850.7400
zhenyi10,TapGazer,GS,WC,l,u,tap,179.4344,0,0,1605975992030.1700
zhenyi10,TapGazer,GS,WC,a,l,tap,101.4360,0,0,1605975992131.6100
zhenyi10,TapGazer,GS,WC,space,a,selection,311.6856,4,0,1605975992443.2900
zhenyi10,TapGazer,GS,WC,i,space,tap,403.1219,0,0,1605975992846.4100
zhenyi10,TapGazer,GS,WC,s,i,tap,95.4188,0,0,1605975992941.8300
zhenyi10,TapGazer,GS,WC,space,s,selection,323.1878,10,0,1605975993265.0200
zhenyi10,TapGazer,GS,WC,g,space,tap,236.0102,0,0,1605975993501.0300
zhenyi10,TapGazer,GS,WC,r,g,tap,148.0768,0,0,1605975993649.1100
zhenyi10,TapGazer,GS,WC,o,r,tap,157.3221,0,0,1605975993806.4300
zhenyi10,TapGazer,GS,WC,w,o,tap,168.7747,0,0,1605975993975.2000
zhenyi10,TapGazer,GS,WC,i,w,tap,143.6160,0,0,1605975994118.8200
zhenyi10,TapGazer,GS,WC,space,i,selection,525.0696,1,0,1605975994643.8900
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605975995224.7400
zhenyi10,TapGazer,GS,WC,h,t,tap,89.3291,0,0,1605975995314.0700
zhenyi10,TapGazer,GS,WC,e,h,tap,68.8452,0,0,1605975995382.9200
zhenyi10,TapGazer,GS,WC,space,e,selection,449.5693,10,0,1605975995832.4900
zhenyi10,TapGazer,GS,WC,l,space,tap,125.6635,0,0,1605975995958.1500
zhenyi10,TapGazer,GS,WC,i,l,tap,76.7965,0,0,1605975996034.9500
zhenyi10,TapGazer,GS,WC,b,i,tap,145.6091,0,0,1605975996180.5600
zhenyi10,TapGazer,GS,WC,a,b,tap,102.2926,0,0,1605975996282.8500
zhenyi10,TapGazer,GS,WC,caps,a,deletion,450.6273,0,0,1605975996733.4800
zhenyi10,TapGazer,GS,WC,b,caps,tap,389.8439,0,0,1605975997123.8500
zhenyi10,TapGazer,GS,WC,l,b,tap,66.9718,0,0,1605975997190.8200
zhenyi10,TapGazer,GS,WC,caps,l,deletion,447.4591,0,0,1605975997638.2800
zhenyi10,TapGazer,GS,WC,l,caps,tap,234.4924,0,0,1605975997872.7700
zhenyi10,TapGazer,GS,WC,i,l,tap,77.0005,0,0,1605975997949.7700
zhenyi10,TapGazer,GS,WC,b,i,tap,167.5352,0,0,1605975998117.3100
zhenyi10,TapGazer,GS,WC,r,b,tap,213.9971,0,0,1605975998331.3000
zhenyi10,TapGazer,GS,WC,a,r,tap,64.7240,0,0,1605975998396.0300
zhenyi10,TapGazer,GS,WC,r,a,tap,111.7451,0,0,1605975998507.7700
zhenyi10,TapGazer,GS,WC,t,r,tap,13.9630,0,0,1605975998521.7400
zhenyi10,TapGazer,GS,WC,space,t,selection,428.6790,2,0,1605975998950.4200
zhenyi10,TapGazer,GS,WC,i,space,tap,413.4713,0,0,1605975999363.8900
zhenyi10,TapGazer,GS,WC,s,i,tap,108.1033,0,0,1605975999471.9900
zhenyi10,TapGazer,GS,WC,space,s,selection,174.1573,10,0,1605975999646.1500
zhenyi10,TapGazer,GS,WC,c,space,tap,144.6558,0,0,1605975999790.8000
zhenyi10,TapGazer,GS,WC,l,c,tap,80.4733,0,0,1605975999871.2800
zhenyi10,TapGazer,GS,WC,o,l,tap,157.1966,0,0,1605976000028.4700
zhenyi10,TapGazer,GS,WC,s,o,tap,76.6782,0,0,1605976000105.1500
zhenyi10,TapGazer,GS,WC,e,s,tap,66.8213,0,0,1605976000171.9700
zhenyi10,TapGazer,GS,WC,d,e,tap,246.3410,0,0,1605976000418.3100
zhenyi10,TapGazer,GS,WC,space,d,selection,380.9694,1,0,1605976000799.2800
zhenyi10,TapGazer,GS,WC,t,space,tap,390.5215,0,0,1605976001189.8100
zhenyi10,TapGazer,GS,WC,o,t,tap,122.6670,0,0,1605976001312.4700
zhenyi10,TapGazer,GS,WC,d,o,tap,99.7242,0,0,1605976001412.2000
zhenyi10,TapGazer,GS,WC,a,d,tap,68.4308,0,0,1605976001480.6300
zhenyi10,TapGazer,GS,WC,y,a,tap,102.9118,0,0,1605976001583.5400
zhenyi10,TapGazer,GS,WC,space,y,selection,294.2138,1,0,1605976001877.7500
zhenyi10,TapGazer,GS,WC,m,,tap,0.0000,0,0,1605976002619.0500
zhenyi10,TapGazer,GS,WC,a,m,tap,89.1743,0,0,1605976002708.2300
zhenyi10,TapGazer,GS,WC,r,a,tap,179.3126,0,0,1605976002887.5400
zhenyi10,TapGazer,GS,WC,y,r,tap,191.5168,0,0,1605976003079.0600
zhenyi10,TapGazer,GS,WC,space,y,selection,309.2805,9,-1,1605976003388.3400
zhenyi10,TapGazer,GS,WC,a,space,tap,369.7112,0,0,1605976003758.0500
zhenyi10,TapGazer,GS,WC,caps,a,deletion,502.3853,0,0,1605976004260.4300
zhenyi10,TapGazer,GS,WC,h,caps,tap,257.8599,0,0,1605976004518.2900
zhenyi10,TapGazer,GS,WC,a,h,tap,191.7359,0,0,1605976004710.0300
zhenyi10,TapGazer,GS,WC,d,a,tap,72.7985,0,0,1605976004782.8300
zhenyi10,TapGazer,GS,WC,space,d,selection,366.5554,6,0,1605976005149.3800
zhenyi10,TapGazer,GS,WC,a,space,tap,260.9815,0,0,1605976005410.3700
zhenyi10,TapGazer,GS,WC,space,a,selection,414.5721,10,0,1605976005824.9400
zhenyi10,TapGazer,GS,WC,l,space,tap,245.5292,0,0,1605976006070.4700
zhenyi10,TapGazer,GS,WC,i,l,tap,91.2961,0,0,1605976006161.7600
zhenyi10,TapGazer,GS,WC,t,i,tap,153.4128,0,0,1605976006315.1800
zhenyi10,TapGazer,GS,WC,t,t,tap,211.4167,0,0,1605976006526.5900
zhenyi10,TapGazer,GS,WC,l,t,tap,271.4319,0,0,1605976006798.0200
zhenyi10,TapGazer,GS,WC,space,l,selection,457.1127,1,0,1605976007256.1300
zhenyi10,TapGazer,GS,WC,l,space,tap,366.5949,0,0,1605976007622.7300
zhenyi10,TapGazer,GS,WC,a,l,tap,102.2373,0,0,1605976007724.9700
zhenyi10,TapGazer,GS,WC,m,a,tap,152.7168,0,0,1605976007877.6800
zhenyi10,TapGazer,GS,WC,b,m,tap,155.4373,0,0,1605976008033.1200
zhenyi10,TapGazer,GS,WC,space,b,selection,461.8907,1,0,1605976008495.0100
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605976009209.3500
zhenyi10,TapGazer,GS,WC,e,t,tap,78.9239,0,0,1605976009288.2800
zhenyi10,TapGazer,GS,WC,a,e,tap,66.9946,0,0,1605976009355.2700
zhenyi10,TapGazer,GS,WC,c,a,tap,178.7490,0,0,1605976009534.0200
zhenyi10,TapGazer,GS,WC,h,c,tap,65.8303,0,0,1605976009599.8500
zhenyi10,TapGazer,GS,WC,i,h,tap,78.9192,0,0,1605976009678.7700
zhenyi10,TapGazer,GS,WC,n,i,tap,124.6899,0,0,1605976009803.4600
zhenyi10,TapGazer,GS,WC,g,n,tap,51.8656,0,0,1605976009855.3200
zhenyi10,TapGazer,GS,WC,space,g,selection,279.4535,2,0,1605976010134.7800
zhenyi10,TapGazer,GS,WC,i,space,tap,179.8270,0,0,1605976010314.6000
zhenyi10,TapGazer,GS,WC,caps,i,deletion,520.0997,0,0,1605976010834.7000
zhenyi10,TapGazer,GS,WC,s,caps,tap,292.8865,0,0,1605976011127.5900
zhenyi10,TapGazer,GS,WC,e,s,tap,87.8476,0,0,1605976011215.4400
zhenyi10,TapGazer,GS,WC,r,e,tap,78.4109,0,0,1605976011293.8500
zhenyi10,TapGazer,GS,WC,v,r,tap,182.5399,0,0,1605976011476.3900
zhenyi10,TapGazer,GS,WC,i,v,tap,89.9653,0,0,1605976011566.3500
zhenyi10,TapGazer,GS,WC,d,i,tap,89.8401,0,0,1605976011656.1900
zhenyi10,TapGazer,GS,WC,space,d,selection,1004.8971,2,1,1605976012661.0900
zhenyi10,TapGazer,GS,WC,w,space,tap,437.8952,0,0,1605976013098.9900
zhenyi10,TapGazer,GS,WC,i,w,tap,73.3308,0,0,1605976013172.3200
zhenyi10,TapGazer,GS,WC,l,i,tap,135.9388,0,0,1605976013308.2600
zhenyi10,TapGazer,GS,WC,l,l,tap,145.6150,0,0,1605976013453.8700
zhenyi10,TapGazer,GS,WC,space,l,selection,285.2028,7,0,1605976013739.0700
zhenyi10,TapGazer,GS,WC,h,space,tap,191.1177,0,0,1605976013930.1900
zhenyi10,TapGazer,GS,WC,e,h,tap,122.8063,0,0,1605976014053.0000
zhenyi10,TapGazer,GS,WC,l,e,tap,92.3400,0,0,1605976014145.3400
zhenyi10,TapGazer,GS,WC,p,l,tap,186.9475,0,0,1605976014332.2900
zhenyi10,TapGazer,GS,WC,space,p,selection,338.0476,5,0,1605976014670.3300
zhenyi10,TapGazer,GS,WC,w,,tap,0.0000,0,0,1605976015229.8800
zhenyi10,TapGazer,GS,WC,e,w,tap,89.3402,0,0,1605976015320.2100
zhenyi10,TapGazer,GS,WC,space,e,selection,312.6417,10,0,1605976015632.8500
zhenyi10,TapGazer,GS,WC,a,space,tap,244.4000,0,0,1605976015877.2500
zhenyi10,TapGazer,GS,WC,c,a,tap,190.5031,0,0,1605976016067.7600
zhenyi10,TapGazer,GS,WC,c,c,tap,503.4772,0,0,1605976016571.2300
zhenyi10,TapGazer,GS,WC,e,c,tap,206.8709,0,0,1605976016778.1100
zhenyi10,TapGazer,GS,WC,p,e,tap,311.9207,0,0,1605976017090.0300
zhenyi10,TapGazer,GS,WC,t,p,tap,100.7300,0,0,1605976017190.7600
zhenyi10,TapGazer,GS,WC,space,t,selection,362.4548,5,0,1605976017553.2100
zhenyi10,TapGazer,GS,WC,p,space,tap,435.0362,0,0,1605976017988.2500
zhenyi10,TapGazer,GS,WC,r,p,tap,56.8867,0,0,1605976018045.1300
zhenyi10,TapGazer,GS,WC,e,r,tap,57.2894,0,0,1605976018102.4200
zhenyi10,TapGazer,GS,WC,s,e,tap,186.5030,0,0,1605976018288.9300
zhenyi10,TapGazer,GS,WC,o,s,tap,123.6676,0,0,1605976018412.5900
zhenyi10,TapGazer,GS,WC,n,o,tap,65.8246,0,0,1605976018478.4200
zhenyi10,TapGazer,GS,WC,a,n,tap,102.8447,0,0,1605976018581.2600
zhenyi10,TapGazer,GS,WC,l,a,tap,113.7458,0,0,1605976018695.0100
zhenyi10,TapGazer,GS,WC,caps,l,deletion,623.8920,0,0,1605976019318.9000
zhenyi10,TapGazer,GS,WC,p,caps,tap,323.1505,0,0,1605976019642.0500
zhenyi10,TapGazer,GS,WC,e,p,tap,50.8649,0,0,1605976019692.9200
zhenyi10,TapGazer,GS,WC,r,e,tap,91.7542,0,0,1605976019784.6700
zhenyi10,TapGazer,GS,WC,s,r,tap,255.3167,0,0,1605976020039.9900
zhenyi10,TapGazer,GS,WC,o,s,tap,112.0069,0,0,1605976020151.9900
zhenyi10,TapGazer,GS,WC,n,o,tap,77.7909,0,0,1605976020229.7800
zhenyi10,TapGazer,GS,WC,a,n,tap,114.6934,0,0,1605976020344.4800
zhenyi10,TapGazer,GS,WC,l,a,tap,103.7227,0,0,1605976020448.2000
zhenyi10,TapGazer,GS,WC,space,l,selection,288.9282,3,0,1605976020737.1300
new session
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605976053554.7400
zhenyi10,TapGazer,GS,WC,h,t,tap,96.2840,0,0,1605976053651.0300
zhenyi10,TapGazer,GS,WC,a,h,tap,123.1846,0,0,1605976053774.2100
zhenyi10,TapGazer,GS,WC,n,a,tap,110.3874,0,0,1605976053884.6000
zhenyi10,TapGazer,GS,WC,k,n,tap,156.0884,0,0,1605976054040.6900
zhenyi10,TapGazer,GS,WC,space,k,selection,406.9758,2,0,1605976054447.6600
zhenyi10,TapGazer,GS,WC,y,space,tap,166.6673,0,0,1605976054614.3300
zhenyi10,TapGazer,GS,WC,o,y,tap,90.2477,0,0,1605976054704.5800
zhenyi10,TapGazer,GS,WC,u,o,tap,77.7932,0,0,1605976054782.3700
zhenyi10,TapGazer,GS,WC,space,u,selection,706.7926,10,0,1605976055489.1600
zhenyi10,TapGazer,GS,WC,f,space,tap,290.3008,0,0,1605976055779.4600
zhenyi10,TapGazer,GS,WC,o,f,tap,59.9045,0,0,1605976055839.3700
zhenyi10,TapGazer,GS,WC,r,o,tap,134.1053,0,0,1605976055973.4700
